what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1284195288625
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1284195294750
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1284195295062
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1284195318343
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1284195318546
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1284195319343
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284195320515
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284195418453
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1284195421125
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284195427968
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284195447421
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1284195460046
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1284195460140
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1284195467890
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1284195473062
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1284196261437
opened,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1284196262078
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1284196262156
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1284196269609
closed,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1284196269609
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284196273062
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284196275234
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.closeAll",1284196275250
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1284196276250
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284196840453
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284197276937
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284197277921
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284197277921
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284197278000
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284197279046
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284197282859
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284197289343
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284197291656
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284197295281
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284197295578
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1284197296015
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1284197296031
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1284197296031
stopped,bundle,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.adt",1284197296031
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1284197296031
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1284197296031
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1284197296031
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1284197296062
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1284197296062
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1284197296093
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1284197296093
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.204.v200909021537,"org.eclipse.wst.xsd.ui",1284197296187
stopped,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1284197296187
